Order_ID,Customer_ID,Product_ID,Store_ID,Order_Date,Quantity,Discount
116,6155,1006,32,2025-10-06,6.0,0.13
117,6844,615,33,2026-05-21,10.0,0.24
118,4421,903,99,2025-02-28,4.0,0.22
119,1072,1027,74,2025-01-31,6.0,0.2
120,3578,707,12,2025-07-15,7.0,0.13
121,6064,921,57,2025-04-03,5.0,0.18
122,4117,485,57,2025-10-08,9.0,0.07
123,2907,89,78,2026-02-17,5.0,0.15
124,1756,1031,6,2026-02-09,,0.05
125,474,307,31,2025-02-16,6.0,0.15
126,5284,1212,87,2026-02-04,10.0,0.08
127,7802,1311,22,2025-09-29,10.0,0.28
128,6345,1792,30,2026-01-02,5.0,0.08
129,4874,676,23,2025-04-25,7.0,0.06
130,5620,729,50,2025-02-02,2.0,0.25
131,3702,131,1,2026-06-18,9.0,0.16
132,2705,1778,40,2026-03-06,4.0,0.19
133,3500,2,39,2025-03-02,7.0,0.06
134,2127,904,36,2026-04-16,7.0,0.13
135,1004,1346,95,2025-03-25,10.0,0.13
136,1454,238,44,2025-02-15,3.0,0.3
137,5956,1177,88,2026-02-19,4.0,0.21
138,4516,1616,53,2026-05-30,6.0,0.21
139,5231,1154,82,2025-02-15,2.0,0.01
140,1005,643,67,2025-08-15,5.0,0.06
141,1074,1731,70,2026-03-02,6.0,0.21
142,11,206,29,2026-06-12,7.0,0.09
143,6279,1767,4,2025-06-21,1.0,0.18
144,1582,1618,67,2025-01-12,8.0,0.03
145,562,378,38,2025-12-29,1.0,0.26
146,7890,1110,12,2026-01-19,2.0,0.17
147,6125,1873,84,2025-04-03,7.0,0.18
148,4655,1579,75,2025-04-29,10.0,0.06
149,5124,1607,93,2026-01-18,7.0,0.01
150,2753,248,74,2025-04-08,6.0,0.2
151,1824,1707,74,2026-02-26,10.0,0.16
152,4110,887,85,2026-05-20,2.0,0.02
153,4394,24,83,2025-11-15,1.0,0.18
154,4895,1743,27,2025-06-16,3.0,0.23
155,7432,1466,47,2025-01-18,9.0,0.15
156,4917,866,11,2025-06-07,2.0,0.29
157,1701,1665,18,2025-03-18,4.0,0.23
158,4723,723,21,2025-05-19,5.0,0.01
159,339,1364,7,2025-08-07,5.0,0.14
160,7665,1903,61,2026-05-23,2.0,0.11
161,2858,790,20,2026-04-05,9.0,0.08
162,3184,819,14,2025-03-11,1.0,0.21
163,7415,849,95,2025-05-15,3.0,0.22
164,7511,122,50,2026-01-15,4.0,0.28
165,2606,1005,87,2025-04-06,7.0,0.05
166,4542,884,7,2025-03-06,2.0,0.16
167,5466,1495,17,2025-08-24,2.0,0.26
168,6913,1247,29,2025-07-20,10.0,0.02
169,2926,1196,96,2026-06-05,6.0,0.23
170,5904,1875,18,2025-03-02,10.0,0.13
171,1812,236,37,2025-12-16,3.0,0.18
172,5392,1409,65,2025-04-18,9.0,0.25
173,5767,793,82,2025-04-21,10.0,0.17
174,7047,1122,7,2025-10-23,7.0,0.11
175,1338,183,9,2025-05-25,6.0,0.23
176,6494,865,1,2026-06-16,4.0,0.04
177,6357,212,89,2025-01-14,5.0,0.08
178,6880,88,70,2025-03-19,7.0,0.21
179,7431,210,33,2025-02-09,8.0,0.24
180,6888,484,35,2026-03-12,9.0,0.17
181,2298,1160,46,2025-01-31,5.0,0.25
182,4839,1393,95,2025-12-07,1.0,0.25
183,285,848,17,2026-04-13,9.0,0.08
184,3541,1217,72,2025-08-14,7.0,0.21
185,7493,1707,45,2025-02-11,9.0,0.15
186,4984,562,11,2025-11-09,3.0,0.04
187,5390,33,38,2026-01-03,10.0,0.14
188,7436,883,23,2025-11-20,8.0,0.25
189,2357,931,52,2026-02-04,9.0,0.18
190,6607,708,25,2025-02-15,10.0,0.03
191,4059,285,68,2026-02-15,5.0,0.04
192,5508,1459,49,2026-06-16,5.0,0.1
193,1104,1979,88,2026-02-01,1.0,0.04
194,7843,795,11,2025-05-04,8.0,0.23
195,1124,1575,93,2026-02-13,7.0,0.13
196,2527,1223,67,2025-05-11,4.0,0.08
197,7178,1124,77,2026-02-27,7.0,0.14
198,1024,811,48,2026-01-23,1.0,0.05
199,6112,1006,88,2025-10-30,8.0,0.01
200,7347,746,64,2025-05-16,2.0,0.06
201,2641,304,36,2025-07-03,3.0,0.29
202,1241,700,96,2026-02-04,6.0,0.25
203,4269,658,96,2026-06-20,1.0,0.25
204,4917,800,9,2026-04-09,5.0,0.05
205,7830,1740,8,2025-12-14,6.0,0.23
206,5128,738,94,2025-08-22,1.0,0.1
207,1544,1473,16,2026-06-12,2.0,0.08
208,137,675,79,2025-08-24,7.0,0.09
209,1985,307,17,2025-05-07,3.0,0.0
210,7236,301,75,2025-10-05,2.0,0.27
211,5944,224,36,2025-03-18,4.0,0.08
212,6615,1851,69,2026-05-13,1.0,0.15
213,5691,1858,26,2026-04-22,5.0,0.26
214,4848,1561,70,2025-06-04,8.0,0.21
215,370,1549,20,2025-04-09,5.0,0.28
216,7624,1088,19,2025-08-22,7.0,0.03
217,5102,1926,73,2026-06-14,8.0,0.02
218,5351,32,6,2026-01-28,2.0,0.05
219,1333,1994,53,2025-12-19,5.0,0.3
220,6328,1263,97,2026-03-22,9.0,0.24
221,2963,1033,61,2026-04-08,6.0,0.29
222,7102,262,54,2025-08-07,6.0,0.23
223,4115,1071,69,2025-05-28,5.0,0.06
224,6750,1284,20,2025-11-19,8.0,0.09
225,1051,1310,42,2025-07-27,3.0,0.1
226,7365,955,68,2025-07-11,2.0,0.17
227,378,512,33,2025-12-11,6.0,0.11
228,6032,1080,24,2026-06-08,9.0,0.29
229,59,537,57,2026-02-11,3.0,0.14
230,7497,776,91,2025-02-15,7.0,0.16
231,4473,1987,64,2025-11-03,9.0,0.1
232,3660,162,93,2025-05-13,9.0,0.02
233,2568,426,10,2025-08-09,8.0,0.22
234,4551,738,78,2025-07-14,7.0,0.03
235,3246,263,13,2025-02-05,3.0,0.14
236,5832,1841,11,2025-09-21,5.0,0.24
237,1802,8,82,2025-05-05,5.0,0.0
238,669,569,37,2025-12-31,7.0,0.04
239,3129,1908,40,2025-12-27,10.0,0.21
240,2222,1908,27,2025-08-07,5.0,0.02
241,6965,981,13,2025-05-06,10.0,0.21
242,1858,466,32,2025-10-11,6.0,0.24
243,1349,1275,56,2026-04-24,8.0,0.01
244,6145,94,96,2025-07-30,1.0,0.24
245,1854,604,39,2026-05-24,5.0,0.11
246,5743,729,71,2026-02-28,9.0,0.19
247,4289,1038,12,2026-05-03,9.0,0.15
248,7767,1456,17,2025-04-29,1.0,0.11
249,1258,1023,78,2025-09-19,10.0,0.07
250,7523,450,66,2025-05-11,7.0,0.15
251,4779,1777,6,2025-08-04,5.0,0.06
252,1372,382,30,2025-11-26,3.0,0.08
253,7614,1802,57,2025-01-15,1.0,0.09
254,5618,241,40,2026-06-22,4.0,0.07
255,4552,949,40,2026-04-16,7.0,0.14
256,2096,14,59,2025-01-19,8.0,0.07
257,3368,1761,98,2025-12-28,7.0,0.12
258,5507,1981,58,2026-01-22,1.0,0.29
259,1328,1751,71,2025-06-08,3.0,0.04
260,6451,1408,83,2025-05-11,3.0,0.04
261,7035,1754,65,2026-03-02,4.0,0.26
262,1352,985,72,2025-09-25,9.0,0.23
263,3496,536,91,2025-08-09,3.0,0.18
264,6968,23,39,2026-01-04,4.0,0.19
265,4669,341,85,2025-02-07,7.0,0.27
266,5408,1980,51,2025-02-03,7.0,0.27
267,2887,475,13,2025-07-06,9.0,0.06
268,1685,697,67,2025-10-11,5.0,0.17
269,751,231,67,2025-11-13,9.0,0.29
270,2880,201,20,2025-09-25,7.0,0.05
271,7151,797,96,2025-08-29,1.0,0.14
272,3882,1551,91,2025-01-20,2.0,0.09
273,6466,771,33,2025-04-08,4.0,0.02
274,5953,693,75,2025-12-25,7.0,0.28
275,6607,1281,91,2026-01-17,9.0,0.17
276,1368,151,80,2025-09-10,5.0,0.15
277,7549,214,27,2026-02-24,4.0,0.06
278,2757,1181,64,2025-07-01,7.0,0.15
279,3504,1065,64,2026-05-03,8.0,0.15
280,1718,740,72,2026-03-12,10.0,0.02
281,732,995,33,2025-03-16,5.0,0.18
282,6345,1668,72,2025-01-25,4.0,0.29
283,6550,610,23,2026-03-19,9.0,0.24
284,1573,411,78,2025-01-14,3.0,0.2
285,6960,832,15,2026-01-08,8.0,0.26
286,770,154,11,2025-08-18,1.0,0.18
287,2523,1077,1,2025-11-12,6.0,0.08
288,3381,1991,33,2026-05-27,4.0,0.19
289,2143,1199,78,2025-01-14,2.0,0.03
290,7789,807,13,2026-01-29,9.0,0.23
291,6763,943,91,2025-01-19,5.0,0.09
292,4676,1958,12,2025-12-17,10.0,0.29
293,1837,1087,85,2025-01-28,8.0,0.11
294,7690,1173,49,2026-04-18,10.0,0.2
295,3704,372,5,2026-02-08,7.0,0.04
296,6240,397,59,2025-07-05,3.0,0.13
297,5527,356,8,2026-01-08,4.0,0.15
298,4650,1159,57,2025-06-12,7.0,0.27
299,5083,961,14,2026-01-08,6.0,0.11
300,5064,401,21,2026-05-16,8.0,0.14
301,948,1396,43,2025-11-12,2.0,0.2
302,6829,1977,60,2026-05-27,2.0,0.06
303,5982,1714,53,2025-01-05,3.0,0.25
304,3474,1041,44,2026-02-21,10.0,0.15
305,7107,1313,88,2026-03-07,9.0,0.23
306,7602,1549,68,2025-12-18,1.0,0.2
307,1643,1929,45,2026-05-28,8.0,0.11
308,7062,1700,76,2025-10-28,8.0,0.25
309,7008,842,36,2025-10-06,4.0,0.27
310,1379,784,26,2025-06-03,1.0,0.15
311,5390,869,98,2025-12-26,8.0,0.18
312,6025,686,67,2026-04-01,5.0,0.2
313,3155,1268,34,2025-09-29,7.0,0.29
314,2858,725,81,2025-09-02,2.0,0.08
315,7432,518,41,2025-02-06,8.0,0.22
316,2075,49,100,2026-01-09,3.0,0.07
317,1390,1230,83,2025-01-06,8.0,0.17
318,5565,1704,96,2026-06-21,5.0,0.18
319,7197,465,83,2025-09-22,6.0,0.1
320,1942,904,45,2025-10-14,1.0,0.17
321,6332,1983,62,2026-06-22,1.0,0.0
322,4359,443,26,2026-01-16,4.0,0.28
323,1545,383,93,2025-05-04,10.0,0.07
324,3112,621,95,2026-06-22,10.0,0.01
325,6648,1600,4,2026-05-02,5.0,0.07
326,454,1982,36,2025-03-31,4.0,0.11
327,1790,362,91,2025-09-21,7.0,0.25
328,847,94,95,2025-05-25,6.0,0.12
329,1888,1781,69,2026-04-08,9.0,0.19
330,1688,414,38,2026-02-09,7.0,0.14
331,2183,1417,51,2026-03-19,7.0,0.22
332,1790,1743,18,2026-05-13,4.0,0.06
333,5074,972,34,2025-04-25,10.0,0.1
334,6411,110,91,2025-10-18,3.0,0.25
335,438,1797,12,2025-01-22,2.0,0.05
336,3574,92,62,2025-04-23,8.0,0.2
337,2687,236,51,2025-11-03,10.0,0.29
338,4849,1805,60,2026-05-03,5.0,0.17
339,1657,1062,26,2025-08-30,8.0,0.26
340,3499,179,34,2025-09-15,1.0,0.06
341,3664,1766,84,2026-01-16,6.0,0.08
342,4327,1209,27,2025-12-16,8.0,0.01
343,5478,1552,99,2025-07-07,6.0,0.12
344,6231,958,4,2026-02-18,3.0,0.26
345,2738,887,97,2026-04-27,8.0,0.02
346,5215,1733,90,2025-05-03,2.0,0.28
347,1494,490,93,2026-02-13,10.0,0.28
348,4670,225,17,2025-07-12,4.0,0.15
349,2982,1226,83,2026-06-18,5.0,0.29
350,5734,1509,27,2025-09-12,2.0,0.15
351,3653,19,43,2026-06-02,9.0,0.23
352,4009,1186,9,2025-02-15,1.0,0.19
353,6923,1314,47,2025-05-02,7.0,0.27
354,2190,84,64,2025-02-06,7.0,0.29
355,1680,1560,69,2025-11-05,9.0,0.13
356,4197,1985,26,2025-01-11,5.0,0.07
357,6893,1575,45,2026-04-19,9.0,0.06
358,5407,584,89,2025-01-08,6.0,0.26
359,5081,265,62,2025-07-09,5.0,0.15
360,82,388,16,2026-04-08,10.0,0.17
361,2006,1622,85,2026-02-04,9.0,0.24
362,2013,1515,11,2026-03-15,5.0,0.15
363,2668,1529,80,2026-05-30,9.0,0.25
364,2189,1821,6,2025-11-20,5.0,0.3
365,1767,50,26,2025-07-10,10.0,0.29
366,3778,1283,48,2026-03-23,1.0,0.0
367,1266,867,80,2025-02-25,6.0,0.04
368,1303,424,84,2025-02-08,6.0,0.27
369,7763,1225,85,2026-02-16,10.0,0.11
370,175,1965,77,2025-06-19,4.0,0.27
371,6961,1975,52,2025-12-28,6.0,0.08
372,2006,61,57,2025-05-01,1.0,0.24
373,6596,1628,8,2025-07-04,5.0,0.2
374,7573,335,4,2025-05-01,4.0,0.04
375,2927,441,12,2025-12-01,10.0,0.0
376,1049,411,11,2025-05-24,5.0,0.21
377,7646,1060,17,2025-02-26,7.0,0.09
378,6405,1420,5,2025-09-01,2.0,0.27
379,7451,1968,45,2025-11-01,1.0,0.16
380,1782,1875,67,2026-01-03,8.0,0.13
381,4916,916,27,2026-06-23,8.0,0.28
382,2220,1702,92,2025-12-04,3.0,0.19
383,1940,1078,14,2026-01-19,6.0,0.26
384,1285,996,19,2025-07-12,9.0,0.23
385,3577,1909,36,2025-05-15,3.0,0.18
386,4133,704,24,2026-01-07,2.0,0.11
387,5617,858,100,2026-06-25,8.0,0.24
388,2757,1854,44,2025-02-12,2.0,0.07
389,1016,1178,55,2025-12-03,9.0,0.25
390,6077,1028,59,2026-02-01,5.0,0.03
391,123,1689,91,2025-10-29,6.0,0.15
392,4794,1515,15,2025-11-30,5.0,0.22
393,4687,279,84,2025-09-19,9.0,0.09
394,337,487,43,2025-01-28,5.0,0.13
395,4880,1906,47,2025-12-21,7.0,0.24
396,5717,1639,100,2025-08-04,10.0,0.11
397,4165,1047,10,2025-03-05,6.0,0.15
398,5440,313,58,2026-03-26,3.0,0.23
399,3663,1573,58,2026-05-24,5.0,0.28
400,3049,1177,24,2026-01-14,5.0,0.09
401,1034,445,66,2026-04-04,2.0,0.04
402,6035,1202,32,2026-05-10,5.0,0.18
403,316,35,64,2025-03-05,10.0,0.21
404,7314,746,77,2025-10-19,6.0,0.16
405,4663,1410,95,2026-03-03,5.0,0.14
406,7554,1474,14,2026-03-23,5.0,0.13
407,5553,1155,44,2026-03-08,4.0,0.2
408,962,316,43,2026-01-08,8.0,0.18
409,7387,62,22,2026-04-07,6.0,0.13
410,5113,1504,3,2026-01-20,5.0,0.09
411,7466,1589,20,2026-05-18,3.0,0.04
412,3255,739,26,2025-03-06,8.0,0.28
413,7770,232,89,2025-07-26,6.0,0.08
414,7426,1903,82,2025-02-20,8.0,0.02
415,7868,747,44,2025-09-04,5.0,0.24
416,2914,1275,44,2026-01-08,6.0,0.28
417,7850,252,55,2025-08-08,3.0,0.06
418,5730,1988,98,2026-03-01,8.0,0.12
419,4592,1681,79,2025-12-31,1.0,0.23
420,6583,1524,75,2025-04-04,5.0,0.01
421,6219,1470,7,2025-10-28,7.0,0.06
422,728,759,43,2026-04-28,8.0,0.17
423,766,1282,92,2026-04-13,3.0,0.17
424,3203,1139,50,2025-02-17,4.0,0.23
425,5585,1978,32,2025-03-12,10.0,0.2
426,296,1073,74,2026-06-15,7.0,0.29
427,2870,1324,87,2025-01-26,9.0,0.29
428,3020,762,98,2025-07-21,1.0,0.18
429,885,757,27,2025-06-27,2.0,0.01
430,2336,100,5,2025-07-14,7.0,0.21
431,5797,445,74,2026-03-20,4.0,0.07
432,349,379,1,2025-08-30,10.0,0.16
433,4250,348,84,2025-03-06,8.0,0.17
434,1731,1082,39,2025-10-18,10.0,0.29
435,4258,204,97,2026-02-27,8.0,0.23
436,3312,509,96,2025-10-07,7.0,0.26
437,6056,17,70,2025-08-27,3.0,0.09
438,1521,603,24,2026-02-19,2.0,0.13
439,2279,305,94,2026-02-27,8.0,0.09
440,2111,949,83,2025-07-18,1.0,0.23
441,6240,1014,77,2026-03-21,3.0,0.12
442,4866,1608,84,2025-12-02,8.0,0.16
443,3887,909,39,2025-10-07,9.0,0.18
444,2549,795,68,2026-04-02,3.0,0.2
445,7638,1946,33,2026-01-29,5.0,0.24
446,6498,1166,79,2025-12-09,4.0,0.07
447,2706,1655,56,2026-02-18,6.0,0.09
448,1606,1260,36,2025-01-11,3.0,0.28
449,6491,1626,75,2025-01-12,7.0,0.25
450,6597,769,35,2026-02-02,10.0,0.12
451,524,1964,16,2025-07-06,9.0,0.25
452,6403,1620,19,2025-09-06,10.0,0.2
453,2182,786,72,2026-05-18,3.0,0.04
454,1856,958,27,2025-08-24,1.0,0.15
455,6337,553,7,2026-02-01,9.0,0.2
456,1670,1055,53,2026-05-19,2.0,0.28
457,7895,670,64,2026-05-29,9.0,0.07
458,6449,676,42,2026-01-30,5.0,0.21
459,5536,1589,58,2026-02-13,6.0,0.2
460,6764,1641,59,2026-05-30,6.0,0.12
461,444,1816,46,2025-12-12,1.0,0.02
462,7509,811,82,2026-05-06,3.0,0.2
463,5236,524,78,2025-09-28,5.0,0.06
464,7500,460,22,2026-04-24,7.0,0.01
465,880,523,56,2025-12-30,7.0,0.06
466,6551,519,23,2025-02-13,5.0,0.02
467,720,1403,66,2026-03-18,3.0,0.13
468,5861,205,48,2025-05-21,8.0,0.02
469,679,1294,74,2025-04-05,6.0,0.17
470,2848,1374,85,2025-01-23,9.0,0.24
471,3065,1285,13,2025-08-30,7.0,0.07
472,2618,102,70,2025-03-31,9.0,0.19
473,7475,381,24,2026-05-28,4.0,0.26
474,7365,867,53,2025-07-29,8.0,0.06
475,5502,1211,89,2025-02-18,8.0,0.23
476,1698,419,71,2025-04-09,3.0,0.0
477,7538,1524,65,2025-03-21,1.0,0.22
478,355,79,47,2025-06-04,8.0,0.04
479,4332,548,45,2026-04-16,2.0,0.27
480,4755,1704,99,2026-02-21,5.0,0.11
481,172,684,17,2026-04-30,10.0,0.01
482,2879,1263,80,2026-03-16,3.0,0.03
483,6569,594,28,2025-11-21,2.0,0.27
484,6731,397,6,2025-11-16,9.0,0.28
485,5141,992,62,2026-01-11,1.0,0.04
486,3508,158,2,2025-06-06,1.0,0.27
487,891,823,71,2026-04-12,3.0,0.09
488,6743,942,15,2025-10-17,4.0,0.3
489,7917,1709,20,2025-02-14,4.0,0.09
490,4994,259,57,2025-10-16,2.0,0.07
491,1472,848,55,2026-02-26,2.0,0.11
492,1438,454,26,2026-02-16,1.0,0.03
493,7931,729,44,2026-06-07,7.0,0.01
494,2053,930,42,2025-12-06,3.0,0.1
495,3743,1926,18,2025-02-25,7.0,0.2
496,5154,1827,61,2025-02-28,7.0,0.04
497,924,16,1,2025-12-31,6.0,0.27
498,4505,999,6,2026-03-13,7.0,0.17
499,3788,1960,10,2025-03-14,6.0,0.29
500,5717,1071,12,2026-01-28,2.0,0.14
501,1660,1660,24,2025-09-04,10.0,0.11
502,4706,1646,30,2025-08-25,4.0,0.01
503,2234,1085,37,2025-11-24,6.0,0.29
504,2711,969,8,2026-03-29,7.0,0.17
505,1191,1763,14,2026-06-25,4.0,0.07
506,2224,362,51,2025-09-29,3.0,0.12
507,6424,685,81,2025-12-05,9.0,0.22
508,202,293,93,2025-02-05,10.0,0.09
509,2646,1455,40,2026-06-01,2.0,0.01
510,808,103,78,2025-08-15,6.0,0.06
511,6347,748,93,2025-09-11,7.0,0.07
512,1664,1565,31,2025-01-07,7.0,0.09
513,5734,620,25,2026-04-22,6.0,0.21
514,24,1184,70,2025-10-16,1.0,0.04
515,1912,924,58,2025-02-03,5.0,0.19
516,786,1611,60,2025-01-11,3.0,0.25
517,3612,126,15,2025-07-08,5.0,0.1
518,1390,1131,88,2025-08-18,10.0,0.26
519,6102,964,12,2026-04-05,10.0,0.19
520,3065,780,68,2025-04-22,9.0,0.14
521,3641,768,5,2025-12-30,10.0,0.18
522,7798,1515,31,2025-09-02,8.0,0.01
523,469,1405,45,2026-01-07,2.0,0.27
524,688,1587,49,2025-07-13,10.0,0.07
525,3999,1206,28,2026-01-20,2.0,0.09
526,229,1064,78,2025-09-21,8.0,0.22
527,3160,718,91,2025-10-31,1.0,0.28
528,6784,306,95,2025-12-09,6.0,0.17
529,3827,44,85,2026-05-25,6.0,0.26
530,7087,756,1,2025-09-25,7.0,0.12
531,3842,1102,83,2025-11-25,1.0,0.13
532,3688,227,75,2025-06-13,3.0,0.12
533,7638,1701,81,2026-01-28,3.0,0.24
534,994,1150,56,2026-06-09,2.0,0.26
535,6059,241,4,2025-08-14,1.0,0.13
536,4814,1330,9,2025-10-13,1.0,0.25
537,6674,1139,9,2026-04-24,1.0,0.01
538,1114,1024,89,2026-02-20,4.0,0.2
539,198,706,86,2026-06-21,9.0,0.14
540,6973,1016,7,2025-03-28,8.0,0.08
541,3803,275,90,2026-01-30,10.0,0.15
542,862,1154,43,2026-03-14,2.0,0.19
543,7445,822,40,2026-03-21,10.0,0.01
544,3684,415,82,2025-11-22,8.0,0.29
545,3198,1425,73,2025-04-25,6.0,0.3
546,1224,76,46,2025-05-04,3.0,0.29
547,3288,492,94,2026-04-16,6.0,0.24
548,6410,1373,79,2025-06-28,9.0,0.11
549,4064,731,14,2026-03-11,1.0,0.14
550,7204,1660,93,2026-06-22,5.0,0.12
551,1550,744,70,2025-05-04,8.0,0.17
552,4015,1489,64,2025-09-26,2.0,0.15
553,4089,924,78,2025-09-02,5.0,0.11
554,7607,1276,86,2025-12-08,10.0,0.2
555,1771,1100,31,2026-01-17,5.0,0.12
556,4836,962,97,2025-05-08,10.0,0.05
557,6333,74,11,2025-07-24,3.0,0.02
558,7308,521,55,2025-05-07,7.0,0.04
559,917,1183,12,2026-03-07,8.0,0.29
560,1550,432,48,2025-09-02,10.0,0.2
561,5138,157,32,2026-05-05,4.0,0.17
562,2630,1314,51,2025-05-16,1.0,0.15
563,3064,476,31,2025-12-04,8.0,0.25
564,3470,1413,22,2025-02-24,3.0,0.04
565,6354,1125,63,2025-09-17,5.0,0.14
566,932,382,72,2025-06-11,2.0,0.12
567,1614,595,96,2026-01-13,10.0,0.04
568,4675,1994,22,2025-05-11,4.0,0.04
569,678,903,83,2026-04-17,4.0,0.15
570,7420,1911,2,2025-09-08,6.0,0.17
